Title	Description	Link	Published Date
President Donald J. Trump and Vice Presidential Nominee, Senator JD Vance t...	President Donald J. Trump and Vice Presidential Nominee, Senator JD Vance to Hold a Rally in Atlanta, Georgia President Donald J. Trump, 45th President of the United States of America, and Vice Presidential Nominee, Senator JD Vance will deliver remarks at a Rally in Atlanta, Georgia on Saturday, August 3,...	https://blog.4president.us/2024/2024/07/president-donald-j-trump-and-vice-presidential-nominee-senator-jd-vance-to-hold-a-rally-in-atlanta-g.html	2024-07-30T09:48:26-07:00
Trump Campaign Launches New TV Ad I DONT UNDERSTAND	Trump Campaign Launches New Ad on Dangerously Liberal Border Czar Kamala Harris Today, the Trump campaign launched a new ad in battleground states highlighting dangerously liberal Kamala Harriss weakness and failure to stop the invasion of illegal immigrants at our Southern border. President Trump created the most secure border in...	https://blog.4president.us/2024/2024/07/trump-campaign-launches-new-tv-ad-i-dont-understand.html	2024-07-30T07:51:00-07:00
Harris for President Launches First TV Ad of $50 Million Paid Media Buy, -F...	Harris for President Launches First Ad of $50 Million Paid Media Buy $50 Million Battleground Campaign to Air in Run Up to Democratic National Convention Vice President Harris: -This campaign is about who we fight for. Today, Harris for President is launching a $50 million paid media campaign ahead of...	https://blog.4president.us/2024/2024/07/harris-for-president-launches-first-tv-ad-of-50-million-paid-media-buy-fearless.html	2024-07-30T04:01:00-07:00
President Donald Trump and Senator J.D. Vance Speak Saturday, July 27, 2024...	President Trump And Senator Vance Deliver Powerful Speeches In Minnesota President Donald Trump and Senator J.D. Vance gave powerful speeches Saturday before thousands in St. Cloud, Minnesota. Vice presidential nominee J.D. Vance said: Kamala Harris questioned my loyalty to this country. Thats the word she used -- loyalty.... Id like...	https://blog.4president.us/2024/2024/07/president-donald-trump-and-senator-jd-vance-speak-saturday-july-27-2024-in-st-cloud-minnesota.html	2024-07-27T19:27:56-07:00
Kamala Harris for President Canvassing Kickoff Photos, with Tim Walz, Amy K...	Governor Tim Walz was joined by Senator Amy Klobuchar, Lt. Gov. Peggy Flanagan, Minnesota Attorney General Keith Ellison, U.S. Rep. Betty McCollum, St. Paul Mayor Melvin Carter, and local leaders for a canvassing kickoff event to build on the groundswell of enthusiasm for Vice President Harris’ campaign – and to...	https://blog.4president.us/2024/2024/07/kamala-harris-for-president-canvassing-kickoff-photos-with-tim-walz-amy-klobuchar-and-local-leaders-st-paul-minnesota.html	2024-07-27T17:15:00-07:00
Vice President Kamala Harris to Headline Campaign Rally in Atlanta on Tuesd...	Vice President Harris to Headline Campaign Rally in Atlanta On Tuesday, July 30, Vice President Kamala Harris will hold a campaign rally in Atlanta, Georgia. This will mark the sixth visit Vice President Harris has made to Georgia this year and 15th since taking office. WHAT: Vice President Harris to...	https://blog.4president.us/2024/2024/07/vice-president-kamala-harris-to-headline-campaign-rally-in-atlanta-on-tuesday-july-30-2024.html	2024-07-26T07:51:31-07:00
Barack and Michelle Obama Endorse Kamala Harris for President	Barack and Michelle Obama Endorse Kamala Harris for President This morning, President Barack Obama and former First Lady Michelle Obama endorsed Vice President Kamala Harris for president of the United States. In a video endorsement, the former president and first lady called on Americans to join them in getting to...	https://blog.4president.us/2024/2024/07/barack-and-michelle-obama-endorse-kamala-harris-for-president.html	2024-07-26T05:52:46-07:00
Second Gentleman Doug Emhoff to Campaign for Vice President Kamala Harris i...	Second Gentleman Emhoff to Campaign for Vice President Harris in Central Wisconsin On Saturday, July 27, Second Gentleman Doug Emhoff will campaign in central Wisconsin, his first visit to the state this year. The Second Gentleman will deliver remarks at the 7th Annual Hmong Wausau Festival in Wausau and headline...	https://blog.4president.us/2024/2024/07/second-gentleman-doug-emhoff-to-campaign-for-vice-president-kamala-harris-in-central-wisconsin-on-sa.html	2024-07-25T10:17:49-07:00
Vice Presidential Nominee, Senator JD Vance to Hold a Rally in Glendale, Ar...	Vice Presidential Nominee, Senator JD Vance to Hold a Rally in Glendale, Arizona Vice Presidential Nominee, Senator JD Vance will deliver remarks at a Rally in Glendale, Arizona on Wednesday, July 31, 2024, at 6:00PM MST. The average Arizona family has already lost more than $30,000 paying for the increased...	https://blog.4president.us/2024/2024/07/vice-presidential-nominee-senator-jd-vance-to-hold-a-rally-in-glendale-arizona-on-wednesday-july-31-.html	2024-07-24T13:02:48-07:00
Vice Presidential Nominee, Senator JD Vance to Hold a Rally in Reno, Nevada...	Vice Presidential Nominee, Senator JD Vance to Hold a Rally in Reno, Nevada Vice Presidential Nominee, Senator JD Vance will deliver remarks at a Rally in Reno, Nevada on Tuesday, July 30, 2024, at 4:30PM MST. The people of Nevada are paying the price for the Democrats’ disastrous policies. In...	https://blog.4president.us/2024/2024/07/vice-presidential-nominee-senator-jd-vance-to-hold-a-rally-in-reno-nevada-on-tuesday-july-30-2024.html	2024-07-24T13:01:50-07:00